"accel_x","accel_y","accel_z","mag_x","mag_y","mag_z","gyro_x","gyro_y","gyro_z","t","h","time"
"-0.0","-0.27","10.34","-0.0","-0.27","10.34","0.9141","0.2266","0.9453","18.4","52.5","2019-10-02T21:56:50"
"-0.02","-0.28","10.31","-0.02","-0.28","10.31","0.9453","0.2578","0.6719","18.4","52.6","2019-10-02T21:57:00"
"-0.0","-0.28","10.33","-0.0","-0.28","10.33","0.8281","-0.0547","0.5234","18.4","52.7","2019-10-02T21:57:10"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.5","0.2031","0.6406","18.4","52.6","2019-10-02T21:57:21"
"0.01","-0.28","10.31","0.01","-0.28","10.31","0.9688","0.0156","0.9609","18.4","52.8","2019-10-02T21:57:31"
"-0.03","-0.28","10.3","-0.03","-0.28","10.3","1.0391","-0.0078","0.6719","18.4","52.7","2019-10-02T21:57:41"
"-0.03","-0.29","10.31","-0.03","-0.29","10.31","1.1641","0.2031","0.5391","18.4","52.9","2019-10-02T21:57:51"
"-0.01","-0.28","10.31","-0.01","-0.28","10.31","0.8359","0.0703","0.6641","18.4","52.8","2019-10-02T21:58:01"
"-0.0","-0.3","10.32","-0.0","-0.3","10.32","1.0938","0.2812","0.4141","18.4","52.5","2019-10-02T21:58:11"
"-0.02","-0.28","10.31","-0.02","-0.28","10.31","1.0234","0.25","0.7188","18.4","52.6","2019-10-02T21:58:21"
"-0.02","-0.3","10.31","-0.02","-0.3","10.31","1.2188","0.1875","0.7891","18.4","52.6","2019-10-02T21:58:31"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","0.6172","0.0","0.6719","18.4","52.6","2019-10-02T21:58:42"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","1.0781","0.3906","0.5859","18.4","52.7","2019-10-02T21:58:52"
"0.0","-0.27","10.33","0.0","-0.27","10.33","0.7812","0.4375","0.5391","18.4","52.6","2019-10-02T21:59:02"
"0.01","-0.28","10.32","0.01","-0.28","10.32","0.6562","0.1328","0.6484","18.4","52.5","2019-10-02T21:59:12"
"0.0","-0.28","10.3","0.0","-0.28","10.3","1.0547","0.7422","0.7109","18.4","52.5","2019-10-02T21:59:22"
"-0.01","-0.28","10.33","-0.01","-0.28","10.33","1.2969","-0.0078","0.8984","18.3","52.5","2019-10-02T21:59:32"
"0.01","-0.28","10.33","0.01","-0.28","10.33","1.0859","-0.1484","0.3672","18.3","52.6","2019-10-02T21:59:42"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","1.3672","-0.0703","0.5469","18.4","52.5","2019-10-02T21:59:52"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","0.5938","0.0859","0.6484","18.4","52.5","2019-10-02T22:00:02"
"-0.02","-0.29","10.27","-0.02","-0.29","10.27","-0.1328","-0.2031","0.4297","18.4","52.5","2019-10-02T22:00:13"
"0.0","-0.29","10.32","0.0","-0.29","10.32","1.1719","0.3203","0.4219","18.4","52.5","2019-10-02T22:00:23"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","1.0391","-0.0078","0.6172","18.4","52.5","2019-10-02T22:00:33"
